docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0019103512003995-1807	1	Quantity	323	331	T1	589.3 nm	{"unit": "nm"}
S0019103512003995-1807	1	MeasuredProperty	332	341	T3	resonance	{"HasQuantity": "T1"}
S0019103512003995-1807	1	MeasuredEntity	318	322	T4	Na D	{"HasProperty": "T3"}
S0019103512003995-1807	2	Quantity	421	425	T12	four	{"mods": ["IsCount"], "unit": "count"}
S0019103512003995-1807	2	MeasuredEntity	426	434	T11	transits	{"HasQuantity": "T12"}
S0019103512003995-1807	3	Quantity	753	763	T2	300–800 nm	{"mods": ["IsRange"], "unit": "nm"}
S0019103512003995-1807	3	MeasuredProperty	738	749	T5	wavelengths	{"HasQuantity": "T2"}
S0019103512003995-1807	3	MeasuredEntity	700	734	T6	transmission spectrum of HD209458b	{"HasProperty": "T5"}
S0019103512003995-1807	4	Quantity	846	852	T8	3 mbar	{"unit": "mbar"}
S0019103512003995-1807	4	MeasuredEntity	853	858	T9	level	{"HasQuantity": "T8"}
S0019103512003995-1807	4	Qualifier	813	823	T7	atmosphere	{"Qualifies": "T9"}
