docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S175058361300203X-1556	1	Quantity	65	70	T1-1	34 °C	{"unit": "°C"}
S175058361300203X-1556	1	MeasuredEntity	81	87	T3-1	option	{"HasQuantity": "T1-1"}
S175058361300203X-1556	2	Quantity	75	80	T1-2	38 °C	{"unit": "°C"}
S175058361300203X-1556	2	MeasuredEntity	81	87	T3-2	option	{"HasQuantity": "T1-2"}
S175058361300203X-1556	3	Quantity	628	633	T1-3	38 °C	{"unit": "°C"}
S175058361300203X-1556	3	MeasuredEntity	644	652	T3-3	scenario	{"HasQuantity": "T1-3"}
S175058361300203X-1556	4	Quantity	638	643	T1-4	34 °C	{"unit": "°C"}
S175058361300203X-1556	4	MeasuredEntity	644	652	T3-4	scenario	{"HasQuantity": "T1-4"}
S175058361300203X-1556	5	Quantity	668	680	T1-5	less than 1%	{"mods": ["IsRange"], "unit": "%"}
S175058361300203X-1556	5	MeasuredProperty	586	653	T2-5	Seismic amplitude differences between the 38 °C and 34 °C scenarios	{"HasQuantity": "T1-5"}
S175058361300203X-1556	5	MeasuredEntity	688	720	T4-5	amplitude values of the baseline	{"HasProperty": "T2-5"}
S175058361300203X-1556	6	Quantity	818	834	T1-6	greater than 10%	{"mods": ["IsRange"], "unit": "%"}
S175058361300203X-1556	6	MeasuredEntity	741	787	T2-6	normalized root mean square (NRMS) differences	{"HasQuantity": "T1-6"}
